ID,slug,TRACE-correct,TRACE-plausible,D4C-correct,D4C-plausible,ThinkRepair-correct,NTR-correct
244,Cli_4,,,,,True,
245,Cli_5,True,True,True,True,,
246,Cli_8,,True,True,True,,
247,Cli_9,True,True,True,True,,
248,Cli_10,,,,,,
249,Cli_11,True,True,True,True,True,
250,Cli_12,True,True,True,True,,
251,Cli_13,,,,,,
254,Cli_15,,,,,,
255,Cli_16,,,,,,
256,Cli_17,True,True,,,True,
259,Cli_19,,,,,True,
260,Cli_20,,,,,,
270,Cli_24,,,True,True,True,
271,Cli_25,,,True,True,,
274,Cli_27,,,,,,
275,Cli_28,True,True,True,True,True,
276,Cli_29,,,,,,
281,Cli_32,,,,,,
282,Cli_33,,,,,,
283,Cli_34,,,,,,
284,Cli_35,True,True,True,True,,
285,Cli_37,True,True,True,True,True,
286,Cli_38,,True,True,True,True,
287,Cli_39,,True,,True,,
288,Cli_40,True,True,True,True,True,
289,Closure_1,,,,,,
290,Closure_2,True,True,True,True,,True
295,Closure_5,True,True,True,True,,True
299,Closure_7,,,,,,
302,Closure_10,,,,,,
303,Closure_11,True,True,,,True,True
304,Closure_13,,,,,True,True
305,Closure_14,,,,,True,True
306,Closure_15,,,,,,True
307,Closure_16,,,,,,
308,Closure_17,,,,,,
309,Closure_18,,,,,True,True
310,Closure_19,True,True,True,True,True,True
311,Closure_20,True,True,,,True,
314,Closure_22,,True,,,,
315,Closure_23,,,,,,
316,Closure_24,,,,,,
317,Closure_25,,,,,,
320,Closure_27,,,,,,
324,Closure_30,,,,,,
325,Closure_31,,,,,True,True
330,Closure_33,,,,,,
334,Closure_35,,,,,,
335,Closure_36,True,True,True,True,,True
338,Closure_38,True,True,True,True,True,
341,Closure_40,,,,,,True
344,Closure_42,,,,,,
347,Closure_44,True,True,True,True,True,
352,Closure_48,,,,,,
360,Closure_52,True,True,True,True,True,True
366,Closure_56,True,True,True,True,True,
367,Closure_57,True,True,True,True,True,True
368,Closure_58,True,True,,True,,
369,Closure_59,,,,,,
372,Closure_61,True,True,True,True,,
373,Closure_62,True,True,True,True,True,
374,Closure_64,,,True,True,,
375,Closure_65,True,True,True,True,,True
376,Closure_66,,,True,True,,True
377,Closure_67,,,,,,
381,Closure_69,,,,,,
382,Closure_70,,,,,,True
383,Closure_71,,,,,,
386,Closure_73,True,True,True,True,True,True
387,Closure_74,,,,,,
394,Closure_77,True,True,True,True,True,
395,Closure_78,True,True,True,True,True,True
400,Closure_81,,,,,,
406,Closure_86,True,True,,,True,
407,Closure_87,,,,,,
408,Closure_88,True,True,,,,
413,Closure_91,,,,,,
414,Closure_92,True,True,True,True,True,True
415,Closure_94,,True,,True,,
416,Closure_95,,,,,,
417,Closure_96,True,True,,,,
418,Closure_97,True,True,True,True,True,True
419,Closure_98,,,,,,
424,Closure_101,True,True,,,True,True
425,Closure_102,,,,,True,True
428,Closure_104,True,True,True,True,True,True
431,Closure_106,,,,,,
432,Closure_107,,,,,,
442,Closure_113,,,,,,
443,Closure_114,True,True,True,True,,
450,Closure_118,,,,,,True
451,Closure_119,True,True,,True,True,True
452,Closure_120,,,,,,
453,Closure_121,,,,,,
454,Closure_123,,,,,,
455,Closure_124,True,True,True,True,True,True
456,Closure_125,True,True,True,True,,True
457,Closure_126,True,True,True,True,True,True
458,Closure_128,True,True,True,True,True,
459,Closure_129,True,True,True,True,,
460,Closure_130,,,,,,
461,Closure_131,,True,,,True,
462,Closure_132,,,,,,
463,Closure_133,,,,,,
471,Closure_136,,,,,,
496,Closure_146,,,,,,
506,Closure_150,,,,,,
507,Closure_151,,True,,,,
508,Closure_152,True,True,True,True,True,
534,Closure_159,,True,,,,
537,Closure_161,,,,True,,
554,Closure_166,True,True,True,True,True,
560,Closure_168,True,True,,,True,
576,Codec_2,True,True,,,True,
577,Codec_3,True,True,,,True,
578,Codec_5,True,True,,,True,
582,Codec_8,,True,,True,,
583,Codec_9,True,True,True,True,,
584,Codec_10,True,True,True,True,True,
589,Codec_15,,,,,True,
590,Codec_18,True,True,True,True,True,
591,Mockito_1,,True,,,,
592,Mockito_3,,,,,,
595,Mockito_5,,True,True,True,,True
596,Mockito_7,,,,,,
597,Mockito_8,True,True,,True,,True
598,Mockito_10,,,,,,
599,Mockito_12,True,True,,,,True
600,Mockito_13,,,True,True,True,True
603,Mockito_15,,,,,,
604,Mockito_16,,,,,,
605,Mockito_17,,,,,,
606,Mockito_18,,,,,,True
614,Mockito_24,True,True,True,True,True,True
615,Mockito_25,,,,,,
616,Mockito_27,,,,,,
617,Mockito_28,,,,,,
618,Mockito_29,True,True,True,True,True,True
619,Mockito_30,,,,,,
620,Mockito_32,,,,,,
621,Mockito_33,True,True,True,True,True,
622,Mockito_34,True,True,True,True,True,True
623,Jsoup_2,,,,,,
630,Jsoup_4,,,,,,
631,Jsoup_5,,,,,,
632,Jsoup_6,True,True,True,True,True,
633,Jsoup_7,,,,,,
634,Jsoup_10,True,True,True,True,,
637,Jsoup_12,,,,,,
638,Jsoup_13,True,True,True,True,,
639,Jsoup_14,,,,,,
640,Jsoup_15,,,,,,
641,Jsoup_18,,,,,,
642,Jsoup_19,True,True,True,True,True,
643,Jsoup_20,True,True,True,True,True,
646,Jsoup_23,,,,,,
647,Jsoup_24,True,True,,,True,
648,Jsoup_26,True,True,True,True,True,
649,Jsoup_27,,,,,True,
652,Jsoup_29,True,True,True,True,,
655,Jsoup_32,,,,,,
656,Jsoup_33,,,,,,
657,Jsoup_34,True,True,True,True,True,
658,Jsoup_35,,,,,,
661,Jsoup_37,,True,,,,
662,Jsoup_38,True,True,,,,
663,Jsoup_39,True,True,True,True,,
664,Jsoup_41,,True,True,True,True,
667,Jsoup_43,True,True,True,True,True,
668,Jsoup_45,True,True,True,True,True,
669,Jsoup_46,True,True,True,True,,
670,Jsoup_47,True,True,,,True,
671,Jsoup_48,True,True,True,True,True,
672,Jsoup_49,,,,,True,
675,Jsoup_51,True,True,True,True,True,
678,Jsoup_53,True,True,True,True,,
679,Jsoup_54,True,True,True,True,True,
680,Jsoup_55,True,True,,,True,
686,Jsoup_57,True,True,True,True,True,
689,Jsoup_60,,,,,,
690,Jsoup_62,True,True,,,True,
697,Jsoup_66,,,,,,
698,Jsoup_67,,,,,,
699,Jsoup_68,True,True,True,True,True,
700,Jsoup_70,True,True,True,True,,
701,Jsoup_71,,,,,,
702,Jsoup_72,,True,True,True,True,
705,Jsoup_74,,True,,,,
706,Jsoup_75,,True,,,,
707,Jsoup_76,,,,,,
708,Jsoup_78,,,,,,
709,Jsoup_80,True,True,True,True,True,
710,Jsoup_81,,,,,,
711,Jsoup_82,,,,True,,
716,Jsoup_84,,,,,,
717,Jsoup_86,True,True,True,True,True,
760,Jsoup_90,True,True,True,True,True,
764,Jsoup_93,True,True,True,True,,
771,JacksonDatabind_5,True,True,True,True,True,
774,JacksonDatabind_7,,,,,,
777,JacksonDatabind_9,True,True,True,True,,
782,JacksonDatabind_11,,,,,,
783,JacksonDatabind_12,,True,True,True,,
786,JacksonDatabind_14,,,,,,
796,JacksonDatabind_16,True,True,True,True,True,
797,JacksonDatabind_17,True,True,True,True,True,
801,JacksonDatabind_19,True,True,True,True,,
811,JacksonDatabind_24,True,True,True,True,True,
816,JacksonDatabind_27,True,True,,,True,
817,JacksonDatabind_28,True,True,,,,
833,JacksonDatabind_33,,True,,True,,
834,JacksonDatabind_34,True,True,,,True,
835,JacksonDatabind_35,True,True,True,True,,
836,JacksonDatabind_36,,,,,,
837,JacksonDatabind_37,,,,,,
841,JacksonDatabind_39,,,,True,,
842,JacksonDatabind_42,True,True,,,True,
843,JacksonDatabind_43,,,,,,
844,JacksonDatabind_44,,,,,,
845,JacksonDatabind_45,,,True,True,,
846,JacksonDatabind_46,True,True,True,True,True,
847,JacksonDatabind_47,True,True,,,,
850,JacksonDatabind_49,True,True,True,True,,
854,JacksonDatabind_51,,,,,,
855,JacksonDatabind_52,,,,,,
861,JacksonDatabind_55,,,,,,
862,JacksonDatabind_56,True,True,,True,,
863,JacksonDatabind_57,True,True,True,True,True,
864,JacksonDatabind_58,,True,True,True,,
865,JacksonDatabind_59,,,,,,
866,JacksonDatabind_60,,,,True,,
870,JacksonDatabind_62,,,,,,
871,JacksonDatabind_63,,True,,True,,
872,JacksonDatabind_64,,,,,,
876,JacksonDatabind_66,,,,,,
877,JacksonDatabind_67,,,,,True,
891,JacksonDatabind_70,True,True,,True,,
892,JacksonDatabind_71,True,True,True,True,,
893,JacksonDatabind_72,,,,,,
896,JacksonDatabind_74,,,,,,
899,JacksonDatabind_76,True,True,,,True,
900,JacksonDatabind_77,,True,,,,
901,JacksonDatabind_78,,True,,True,,
913,JacksonDatabind_82,,,,,,
914,JacksonDatabind_83,True,True,True,True,,
915,JacksonDatabind_85,,,,,,
919,JacksonDatabind_88,True,True,,,,
920,JacksonDatabind_90,,,True,True,,
921,JacksonDatabind_91,True,True,True,True,True,
922,JacksonDatabind_93,,True,True,True,,
923,JacksonDatabind_94,,True,,True,,
928,JacksonDatabind_96,,True,True,True,,
929,JacksonDatabind_97,True,True,True,True,True,
930,JacksonDatabind_98,,,,,,
931,JacksonDatabind_99,True,True,True,True,True,
932,JacksonDatabind_100,,,True,True,,
933,JacksonDatabind_101,,,,,,
934,JacksonDatabind_102,True,True,True,True,True,
960,JacksonDatabind_105,,,,,,
961,JacksonDatabind_107,,True,,True,,
964,JacksonDatabind_110,,,,,,
973,JacksonDatabind_112,,True,True,True,,
980,JacksonCore_4,,True,,True,,
981,JacksonCore_5,True,True,True,True,True,
982,JacksonCore_6,True,True,True,True,True,
983,JacksonCore_7,,,True,True,True,
984,JacksonCore_8,True,True,True,True,,
993,JacksonCore_11,,,,,,
1002,JacksonCore_15,,,,,,
1009,JacksonCore_20,,True,True,True,True,
1020,JacksonCore_25,True,True,True,True,True,
1021,JacksonCore_26,,,,,,
1030,Compress_5,,True,True,True,,
1031,Compress_6,,,,,,
1032,Compress_7,True,True,True,True,True,
1033,Compress_8,,,,,,
1034,Compress_9,,,,,,
1039,Compress_12,True,True,True,True,True,
1040,Compress_14,True,True,True,True,,
1041,Compress_15,True,True,,,True,
1042,Compress_16,,,,,,
1043,Compress_17,,,,,True,
1044,Compress_18,True,True,,,True,
1045,Compress_19,True,True,True,True,True,
1052,Compress_21,True,True,True,True,True,
1057,Compress_23,,,,,True,
1058,Compress_24,,,,,,
1059,Compress_26,True,True,True,True,,
1060,Compress_27,True,True,,True,True,
1061,Compress_28,True,True,,True,,
1064,Compress_30,True,True,True,True,True,
1065,Compress_31,True,True,True,True,True,
1066,Compress_32,True,True,True,True,True,
1067,Compress_33,,,,,,
1068,Compress_35,,True,,True,True,
1069,Compress_37,True,True,,,,
1070,Compress_38,,True,,,,
1074,Compress_41,,,,,,
1077,Compress_45,True,True,True,True,True,
1080,Time_2,,,,,,
1081,Time_3,,,,,,
1082,Time_4,,,,,,True
1083,Time_5,,True,,,,
1087,Time_7,,True,True,True,,True
1088,Time_8,True,True,,,,
1089,Time_9,True,True,,True,,
1090,Time_10,True,True,,,,
1098,Time_14,,True,,,,
1099,Time_15,True,True,True,True,True,True
1100,Time_16,True,True,,True,True,
1101,Time_17,,,,,,
1102,Time_18,,True,,True,,
1103,Time_19,,,True,True,True,True
1104,Time_20,True,True,,,True,True
1107,Time_24,,,,,,
1108,Time_25,,,,,,
1115,Time_27,,,True,True,,
1118,JacksonXml_3,True,True,True,True,True,
1119,JacksonXml_4,,,,,,
1130,Gson_5,True,True,,True,True,
1131,Gson_6,True,True,,,True,
1134,Gson_10,True,True,True,True,,
1135,Gson_11,,,,,,
1136,Gson_12,True,True,True,True,,
1137,Gson_13,True,True,,,True,
1140,Gson_15,True,True,True,True,True,
1141,Gson_16,,,,,,
1142,Gson_18,,,,,,
1143,Csv_2,True,True,True,True,,
1144,Csv_3,,,,,,
1145,Csv_5,True,True,True,True,True,
1146,Csv_6,True,True,True,True,True,
1147,Csv_7,True,True,True,True,,
1148,Csv_8,,True,,,,
1149,Csv_9,True,True,True,True,True,
1150,Csv_11,True,True,True,True,True,
1151,Csv_13,,,,,,
1152,Csv_14,True,True,,,True,
1153,Csv_15,True,True,True,True,,
1154,Csv_16,,,,,,
1161,JxPath_5,,True,,,,
1162,JxPath_6,,,,,,
1163,JxPath_8,True,True,True,True,True,
1164,JxPath_9,,,,,,
1167,JxPath_12,,,,,,
1170,JxPath_15,,,,,,
1178,JxPath_19,,,,,,
1179,JxPath_20,,,,,,
1180,JxPath_22,,,,,True,
